"cID","bitterResource","description","molIDinResource","type","bitterClassification","SensoryTestConcentration_mM","EC50_mM","thrPerKg_mM","citation","organism"
"87","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"87","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"88","http://www.springerlink.com/content/d6420l0505377301/",,,"springerlink",,"0.008",,,,NULL
"88","https://doi.org/10.1007/s12078-009-9049-1",,,"URL",,,,,,NULL
"88","https://doi.org/10.1096/fj.13-242594",,,"URL",,,,,,NULL
"89","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"89","https://doi.org/10.1016/j.bbrc.2004.05.019",,,"URL",,,,,,NULL
"89","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"89","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"89","https://pubmed.ncbi.nlm.nih.gov/31551065/",,,"pubMed",,,,,"Wang Y. et al. Functional divergence of bitter taste receptors in a nectar-feeding bird, Biology Letters, 2019, 15(9)",NULL
"89","https://pubmed.ncbi.nlm.nih.gov/33784867/",,,"pubMed",,,,,"Ziegler F. and Behrens M. Bitter taste receptors of the common vampire bat are functional and show conserved responses to metal ions in vitro, Proceedings of the Royal Society B: Biological Sciences, 2021, 288(1947)",NULL
"89","https://pubmed.ncbi.nlm.nih.gov/34240186/",,,"pubMed",,,,,"Jiao H. et al. Local Adaptation of Bitter Taste and Ecological Speciation in a Wild Mammal, Molecular Biology and Evolution, 2021, 38(10), 4562â€“4572",NULL
"89","https://pubmed.ncbi.nlm.nih.gov/34504956/",,,"pubMed",,,,,"Shimizu T. et al. Expression profiles and functional characterization of common carp (Cyprinus carpio) T2Rs, Biochemistry and Biophysics Reports, 2021, 28, 101123",NULL
"89","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"89","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"89","merckProp",,,,"Very bitter",,,,,NULL
"90","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"90","https://doi.org/10.1016/j.bbrc.2004.05.019",,,"URL",,,,,,NULL
"90","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"90","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"90","https://pubmed.ncbi.nlm.nih.gov/34504956/",,,"pubMed",,,,,"Shimizu T. et al. Expression profiles and functional characterization of common carp (Cyprinus carpio) T2Rs, Biochemistry and Biophysics Reports, 2021, 28, 101123",NULL
"90","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"90","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"90","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"91","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"91","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"91","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.0008",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"91","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"91","https://www.ncbi.nlm.nih.gov/pubmed/7878095",,,"pubMed",,"0.0007",,,"Mattes RD (1994). Influences on acceptance of bitter foods and beverages. Physiol Behav 56(6): 1229-36.",NULL
"91","https://www.sciencedirect.com/science/article/pii/B9780080453828001088",,,,"most bitter alkaloid","0.0007",,,,NULL
"91","merck",,,,,,,,,NULL
"92","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"92","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"92","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/31551065/",,,"pubMed",,,,,"Wang Y. et al. Functional divergence of bitter taste receptors in a nectar-feeding bird, Biology Letters, 2019, 15(9)",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/33355666/",,,"pubMed",,,,,"Behrens M. et al. At the Root of T2R Gene Evolution: Recognition Profiles of Coelacanth and Zebrafish Bitter Receptors, Genome Biology and Evolution, 2021, 13(1)",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/34504956/",,,"pubMed",,,,,"Shimizu T. et al. Expression profiles and functional characterization of common carp (Cyprinus carpio) T2Rs, Biochemistry and Biophysics Reports, 2021, 28, 101123",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/35652727/",,,"pubMed",,,,,"Itoigawa A. et al. Functional Diversity and Evolution of Bitter Taste Receptors in Egg-Laying Mammals, Molecular Biology and Evolution, 2022, 39(6)",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/37956436/",,,"pubMed",,,,,"Behrens M. et al. A singular shark bitter taste receptor provides insights into the evolution of bitter taste perception, Proceedings of the National Academy of Sciences, 2023, 120(48)",NULL
"92","https://pubmed.ncbi.nlm.nih.gov/38593768/",,,"pubMed",,,,,"Itoigawa A. et al. Evolutionary origins of bitter taste receptors in jawed vertebrates, Current Biology, 2024, 34(7), 271-272",NULL
"93","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"93","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"93","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"94","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/26488302/",,,"pubMed",,,,,"Lei W. et al. Functional Analyses of Bitter Taste Receptors in Domestic Cats (Felis catus), PLOS ONE, 2015, 10(10)",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/31551065/",,,"pubMed",,,,,"Wang Y. et al. Functional divergence of bitter taste receptors in a nectar-feeding bird, Biology Letters, 2019, 15(9)",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/33289344/",,,"pubMed",,,,,"Lu Q. et al. Molecular evolution and deorphanization of bitter taste receptors in a vampire bat, Integrative Zoology, 2021, 16(5), 659-669",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/33355666/",,,"pubMed",,,,,"Behrens M. et al. At the Root of T2R Gene Evolution: Recognition Profiles of Coelacanth and Zebrafish Bitter Receptors, Genome Biology and Evolution, 2021, 13(1)",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/33784867/",,,"pubMed",,,,,"Ziegler F. and Behrens M. Bitter taste receptors of the common vampire bat are functional and show conserved responses to metal ions in vitro, Proceedings of the Royal Society B: Biological Sciences, 2021, 288(1947)",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/34504956/",,,"pubMed",,,,,"Shimizu T. et al. Expression profiles and functional characterization of common carp (Cyprinus carpio) T2Rs, Biochemistry and Biophysics Reports, 2021, 28, 101123",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/35652727/",,,"pubMed",,,,,"Itoigawa A. et al. Functional Diversity and Evolution of Bitter Taste Receptors in Egg-Laying Mammals, Molecular Biology and Evolution, 2022, 39(6)",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/37956436/",,,"pubMed",,,,,"Behrens M. et al. A singular shark bitter taste receptor provides insights into the evolution of bitter taste perception, Proceedings of the National Academy of Sciences, 2023, 120(48)",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/38593768/",,,"pubMed",,,,,"Itoigawa A. et al. Evolutionary origins of bitter taste receptors in jawed vertebrates, Current Biology, 2024, 34(7), 271-272",NULL
"94","https://pubmed.ncbi.nlm.nih.gov/7812797/",,,"pubMed",,"0.000192",,,"Susan S. S. et al. The effect of sweeteners on bitter taste in young and elderly subjects, Brain Research Bulletin, 1994, 35, 3, 189-204",NULL
"94","merck",,,,,,,,,NULL
"95","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"96","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"97","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"97","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"97","https://pubmed.ncbi.nlm.nih.gov/34785711/",,,"pubMed",,,,,"Cui M. et al. Activation of specific bitter taste receptors by olive oil phenolics and secoiridoids,Â Sci Rep, 2021, 11, 22340",NULL
"97","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"97","https://www.ncbi.nlm.nih.gov/pubmed/7878094",,,"pubMed",,"0.000018",,,"Glendinning JI (1994). Is the bitter rejection response always adaptive? Physiol Behav 56(6): 1217-27.",NULL
"97","merck",,,,,,,,,NULL
"98","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"98","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"98","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"98","merck",,,,,,,,,NULL
"99","http://www.ncbi.nlm.nih.gov/pubmed/19092995","supplementary data",,"pubMed",,,,,"Dotson CD, Zhang L, Xu H, Shin YK, Vigues S, et al. (2008). Bitter taste receptors influence glucose homeostasis. PLoS One 3(12): e3974.",NULL
"99","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"99","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"99","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"99","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"99","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"99","https://pubmed.ncbi.nlm.nih.gov/37956436/",,,"pubMed",,,,,"Behrens M. et al. A singular shark bitter taste receptor provides insights into the evolution of bitter taste perception, Proceedings of the National Academy of Sciences, 2023, 120(48)",NULL
"100","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"100","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"100","https://pubmed.ncbi.nlm.nih.gov/29355483/",,,"pubMed",,,,,"Liu K. et al. Plasticity of the ligand binding pocket in the bitter taste receptor T2R7, Biochimica et Biophysica Acta (BBA) - Biomembranes, 2018, 1860, 5, 991-999",NULL
"100","https://pubmed.ncbi.nlm.nih.gov/33355666/",,,"pubMed",,,,,"Behrens M. et al. At the Root of T2R Gene Evolution: Recognition Profiles of Coelacanth and Zebrafish Bitter Receptors, Genome Biology and Evolution, 2021, 13(1)",NULL
"100","https://pubmed.ncbi.nlm.nih.gov/34504956/",,,"pubMed",,,,,"Shimizu T. et al. Expression profiles and functional characterization of common carp (Cyprinus carpio) T2Rs, Biochemistry and Biophysics Reports, 2021, 28, 101123",NULL
"100","https://pubmed.ncbi.nlm.nih.gov/34785711/",,,"pubMed",,,,,"Cui M. et al. Activation of specific bitter taste receptors by olive oil phenolics and secoiridoids,Â Sci Rep, 2021, 11, 22340",NULL
"100","https://pubmed.ncbi.nlm.nih.gov/35652727/",,,"pubMed",,,,,"Itoigawa A. et al. Functional Diversity and Evolution of Bitter Taste Receptors in Egg-Laying Mammals, Molecular Biology and Evolution, 2022, 39(6)",NULL
"100","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.003",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"100","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"100","https://www.sciencedirect.com/science/article/pii/B9780080453828001088",,,"URL","intense bitter taste","0.0016",,,,NULL
"100","merck",,,,,,,,,NULL
"101","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"101","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"101","https://pubmed.ncbi.nlm.nih.gov/37956436/",,,"pubMed",,,,,"Behrens M. et al. A singular shark bitter taste receptor provides insights into the evolution of bitter taste perception, Proceedings of the National Academy of Sciences, 2023, 120(48)",NULL
"102","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"102","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"102","https://pubmed.ncbi.nlm.nih.gov/22399783/",,,"pubMed",,,,,"Imai H. et al. Functional diversity of bitter taste receptor TAS2R16 in primates, Biology Letters, 2012, 8(4)",NULL
"102","https://pubmed.ncbi.nlm.nih.gov/34240186/",,,"pubMed",,,,,"Jiao H. et al. Local Adaptation of Bitter Taste and Ecological Speciation in a Wild Mammal, Molecular Biology and Evolution, 2021, 38(10), 4562â€“4572",NULL
"102","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"102","https://pubmed.ncbi.nlm.nih.gov/37110532/",,,"pubMed",,,,,"Karolkowski A. et al. Non-Volatile Compounds Involved in Bitterness and Astringency of Pulses: A Review, Molecules, 2023, 28(8), 3298",NULL
"102","https://www.pnas.org/doi/10.1073/pnas.2218183120",,,"URL",,,,,"Hao X. et al. Evolution of bitter receptor genes and ontogenetic dietary shift in a frog, Proceedings of the National Academy of Sciences, 2023, 120(8)",NULL
"103","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"103","http://www.ncbi.nlm.nih.gov/pubmed/20605788",,,"pubMed",,,,,"Sakurai T, Misaka T, Ishiguro M, Masuda K, Sugawara T, et al. (2010). Characterization of the beta-D-glucopyranoside binding site of the human bitter taste receptor hTAS2R16. J Biol Chem 285(36): 28373-8.",NULL
"103","https://doi.org/10.1074/jbc.M110.144444",,,"URL",,,,,,NULL
"103","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"103","https://pubmed.ncbi.nlm.nih.gov/22399783/",,,"pubMed",,,,,"Imai H. et al. Functional diversity of bitter taste receptor TAS2R16 in primates, Biology Letters, 2012, 8(4)",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/31161904/",,,"pubMed",,,,,"Itoigawa A. et al. A natural point mutation in the bitter taste receptor TAS2R16 causes inverse agonism of arbutin in lemur gustation, 2019, 286, 1904",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/33493837/",,,"pubMed",,"0.9",,,"Yang Q. et al. Comprehensive identification of non-volatile bitter-tasting compounds in Zanthoxylum bungeanum Maxim. by untargeted metabolomics combined with sensory-guided fractionation technique, Food Chemistry, 2021, 347, 129085",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/33849315/",,,"pubMed",,,,,"Itoigawa A. et al. Lowered sensitivity of bitter taste receptors to Î²-glucosides in bamboo lemurs: an instance of parallel and adaptive functional decline in TAS2R16?, Proceedings of the Royal Society B, 2021, 288(1948)",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/34240186/",,,"pubMed",,,,,"Jiao H. et al. Local Adaptation of Bitter Taste and Ecological Speciation in a Wild Mammal, Molecular Biology and Evolution, 2021, 38(10), 4562â€“4572",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/35652727/",,,"pubMed",,,,,"Itoigawa A. et al. Functional Diversity and Evolution of Bitter Taste Receptors in Egg-Laying Mammals, Molecular Biology and Evolution, 2022, 39(6)",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.9",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/37110532/",,,"pubMed",,"0.9",,,"Karolkowski A. et al. Non-Volatile Compounds Involved in Bitterness and Astringency of Pulses: A Review, Molecules, 2023, 28(8), 3298",NULL
"103","https://pubmed.ncbi.nlm.nih.gov/37956436/",,,"pubMed",,,,,"Behrens M. et al. A singular shark bitter taste receptor provides insights into the evolution of bitter taste perception, Proceedings of the National Academy of Sciences, 2023, 120(48)",NULL
"103","https://www.ncbi.nlm.nih.gov/pubmed/12379855",,,"pubMed",,"0.9","5.4",,"Bufe B, Hofmann T, Krautwurst D, Raguse JD, Meyerhof W (2002). The human TAS2R16 receptor mediates bitter taste in response to beta-glucopyranosides. Nat Genet 32(3): 397-401.",NULL
"103","https://www.pnas.org/doi/10.1073/pnas.2218183120",,,"URL",,,,,"Hao X. et al. Evolution of bitter receptor genes and ontogenetic dietary shift in a frog, Proceedings of the National Academy of Sciences, 2023, 120(8)",NULL
"104","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"104","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"104","https://pubmed.ncbi.nlm.nih.gov/34240186/",,,"pubMed",,,,,"Jiao H. et al. Local Adaptation of Bitter Taste and Ecological Speciation in a Wild Mammal, Molecular Biology and Evolution, 2021, 38(10), 4562â€“4572",NULL
"104","https://pubmed.ncbi.nlm.nih.gov/34469542/",,,"pubMed",,,,,"Yang H. et al. A New World Monkey Resembles Human in Bitter Taste Receptor Evolution and Function via a Single Parallel Amino Acid Substitution, Molecular Biology and Evolution, 2021,  38(12), 5472â€“5479",NULL
"104","https://pubmed.ncbi.nlm.nih.gov/35652727/",,,"pubMed",,,,,"Itoigawa A. et al. Functional Diversity and Evolution of Bitter Taste Receptors in Egg-Laying Mammals, Molecular Biology and Evolution, 2022, 39(6)",NULL
"104","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"104","https://pubmed.ncbi.nlm.nih.gov/37110532/",,,"pubMed",,"0.4",,,"Karolkowski A. et al. Non-Volatile Compounds Involved in Bitterness and Astringency of Pulses: A Review, Molecules, 2023, 28(8), 3298",NULL
"104","https://www.ncbi.nlm.nih.gov/pubmed/12379855",,,"pubMed",,"0.4","2.2",,"Bufe B, Hofmann T, Krautwurst D, Raguse JD, Meyerhof W (2002). The human TAS2R16 receptor mediates bitter taste in response to beta-glucopyranosides. Nat Genet 32(3): 397-401.",NULL
"104","https://www.pnas.org/doi/10.1073/pnas.2218183120",,,"URL",,,,,"Hao X. et al. Evolution of bitter receptor genes and ontogenetic dietary shift in a frog, Proceedings of the National Academy of Sciences, 2023, 120(8)",NULL
"106","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"106","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"106","https://pubmed.ncbi.nlm.nih.gov/28798468/",,,"pubMed",,,,,"Thomas A. et al. The Bitter Taste Receptor TAS2R16 Achieves High Specificity and Accommodates Diverse Glycoside Ligands by using a Two-faced Binding Pocket, Scientific Reports, 2017, 7, 7753",NULL
"106","https://pubmed.ncbi.nlm.nih.gov/35652727/",,,"pubMed",,,,,"Itoigawa A. et al. Functional Diversity and Evolution of Bitter Taste Receptors in Egg-Laying Mammals, Molecular Biology and Evolution, 2022, 39(6)",NULL
