compound_id,external_id,annotations
8259,VESTITONE,"an isoflavanone
"
8272,CHEBI:28631,"monocarboxylic acid
benzenes
"
8273,CHEBI:30851,"2-oxo monocarboxylic acid
"
8275,PROPANE-1-2-DIOL,"DL-12-Propanediol
"
8278,CHEBI:44864,"dithiol
"
8281,CHEBI:28831,"propan-1-ols
"
8281,LMFA05000101,"Fatty alcohols
"
8281,PROPANOL,"a primary alcohol
a short-chain alcohol
"
8282,CHEBI:8474,"alkanethiol
"
8283,CHEBI:17824,"secondary alcohol
"
8283,ISO-PROPANOL,"a small molecule
"
8286,CHEBI:30768,"saturated fatty acid
short-chain fatty acid
"
8286,C00163,"Straight chain fatty acids
Saturated fatty acids
"
8286,LMFA01010003,"Straight chain fatty acids
"
8291,CHEBI:33135,"pyrrolidines
azacycloalkane
saturated organic heteromonocyclic parent
"
8291,CHEBI:19092,"imine
pyrroline
"
8293,CHEBI:19092,"imine
pyrroline
"
8294,CHEBI:32816,"2-oxo monocarboxylic acid
"
8294,LMFA01060077,"Oxo fatty acids
"
8296,CHEBI:17158,"propanals
2-oxo aldehyde
"
8296,METHYL-GLYOXAL,"a ketoaldehyde
"
8298,CHEBI:15343,"aldehyde
"
8298,ACETALD,"an <i>n</i>-alkanal
"
8299,CHEBI:49028,"carboximidic acid
"
8299,ACETAMIDE,"a small molecule
"
8300,CHEBI:15366,"monocarboxylic acid
"
8300,C00033,"Straight chain fatty acids
Saturated fatty acids
"
8300,LMFA01010002,"Straight chain fatty acids
"
8301,CHEBI:36610,"acyclic carboxylic anhydride
"
8302,CHEBI:15347,"methyl ketone
propanone
ketone body
"
8302,LMFA12000057,"Oxygenated hydrocarbons
"
8302,ACETONE,"a methyl-ethyl-ketone
"
8304,CHEBI:14750,"beta-diketone
"
8304,LMFA12000075,"Oxygenated hydrocarbons
"
8304,CPD-8879,"a small molecule
"
8306,CHEBI:32806,"aconitic acid
"
8307,CHEBI:32805,"aconitic acid
"
8308,CHEBI:15368,"enal
"
8308,C01471,"Pesticides
"
8308,ACROLEIN,"a small molecule
"
8309,CHEBI:28619,"acrylamides
"
8309,ACRYLAMIDE,"a small molecule
"
8310,CHEBI:30832,"alpha,omega-dicarboxylic acid
"
8310,LMFA01170048,"Dicarboxylic acids
"
8311,CHEBI:17431,"guanidines
primary amino compound
"
8311,C00179,"Amines
"
8313,CHEBI:16605,"propenol
"
8313,C02001,"Pesticides
"
8313,ALLYL-ALCOHOL,"a small molecule
"
8318,C10419,"Isoflavonoids
isoflavanones
"
8327,CHEBI:27710,"ethyl sulfide
"
8330,C18754,"Dicarboximide fungicides
"
8350,LMFA06000034,"Fatty aldehydes
"
8369,LMPK12120154,"Chalcones and dihydrochalcones
"
8379,CHEBI:74957,"7-hydroxyisoflavones
"
8379,LMPK12050102,"Isoflavonoids
"
8379,CPD-6998,"a small molecule
"
8380,CHEBI:49019,"aliphatic sulfide
"
8380,CPD-7037,"an organosulfur compound
"
8384,CHEBI:17678,"7-hydroxyisoflavones
methoxyisoflavone
"
8384,C02920,"isoflavones
"
8384,LMPK12050081,"Isoflavonoids
"
8384,2-HYDROXYFORMONONETIN,"a small molecule
"
8405,CHEBI:55365,"cinnamaldehydes
"
8426,CHEBI:18385,"thiamine
"
8426,C00378,"Water-soluble vitamins
"
8426,THIAMINE,"a vitamin
"
8440,CHEBI:2533,"organochlorine compound
monocarboxylic acid amide
"
8440,C10928,"Anilide herbicides
"
8441,CHEBI:3015,"carbamate ester
benzimidazoles
benzimidazolamine pesticide
"
8441,C10896,"Carbamate fungicides
Carbamate pesticides
"
8443,CHEBI:3392,"carbamate ester
benzimidazoles
"
8443,C10897,"Carbamate fungicides
"
8444,CHEBI:34611,"carbamate ester
1-benzofurans
"
8444,C14291,"Carbamate insecticides
"
8452,CHEBI:34703,"benzoylurea insecticide
"
8452,C14427,"Pesticides
"
8456,CHEBI:38483,"carbamate ester
"
8456,C18649,"Carbamate insecticides
"
8460,CHEBI:52896,"xanthene dye
organic cation
"
8461,C18659,"Phosphoramido insecticides
"
8465,C10988,"Pyrethroid insecticides
Pyrethroid pesticides
"
8466,C18860,"Dicarboximide fungicides
"
8467,C18660,"Organophosphorus insecticides
"
8468,C18739,"Conazole fungicides
"
8469,CHEBI:28909,"ureas
organochlorine compound
benzenes
imidazolidine-2,4-dione
"
8469,C11208,"Dicarboximide fungicides
"
8470,C11002,"Organophosphorus insecticides
"
8471,CHEBI:38505,"carbamate ester
"
8471,C18418,"Carbamate insecticides
"
8474,CHEBI:38718,"carbamate ester
organic thiophosphate
organothiophosphate insecticide
"
8474,C18661,"Organophosphorus insecticides
"
8477,C18667,"Phosphoramido insecticides
"
8478,C11196,"Carbamate pesticides
Carbamate insecticides
"
8480,CHEBI:38728,"monocarboxylic acid amide
dialkyl phosphate
organophosphate insecticide
alkenyl phosphate
"
8480,C18663,"Organophosphorus insecticides
"
8481,C18749,"Organophosphorus insecticides
"
8486,CHEBI:38571,"carbamate ester
"
8486,C18771,"Carbamate insecticides
"
8501,CHEBI:62629,"C-nitro compound
organoarsonic acid
"
8511,CHEBI:74357,"sulfonic acid derivative
"
8511,METHYLMETHANETHIOSULFONATE,"a small molecule
"
8542,CHEBI:49017,"aliphatic sulfide
"
8542,CPD-7036,"an organosulfur compound
"
8544,CHEBI:74456,"cyclic ketone
furans
enol
"
8549,CHEBI:4918,"phenylpropanoid
"
8549,CPD-6482,"a small molecule
"
8701,LMPK12120455,"Chalcones and dihydrochalcones
"
8711,CHEBI:18353,"phenols
benzyl alcohols
monomethoxybenzene
"
8711,VANILLYL-ALCOHOL,"a small molecule
"
8717,CHEBI:34918,"phenols
salicylates
benzoate ester
"
8725,CHEBI:28671,"benzaldehydes
"
8725,C06577,"Cyclic monoterpenes
"
8725,CPD-1003,"a small molecule
"
8730,CHEBI:38506,"phenols
"
8739,CHEBI:27810,"resorcinols
benzenediol
"
8739,CPD-623,"a benzenediol
"
8740,CHEBI:30746,"benzoic acids
"
8745,CHEBI:71231,"dihydrochalcones
"
8745,LMPK12120464,"Chalcones and dihydrochalcones
"
8746,CHEBI:17987,"benzyl alcohols
"
8746,BENZYL-ALCOHOL,"an aromatic compound
"
8754,CHEBI:41308,"benzophenones
"
8755,CHEBI:68889,"catechols
primary alcohol
"
8757,C12300,"Menthane monoterpenoids
Cyclic monoterpenes
"
8765,CHEBI:32356,"2,3-dihydroxycinnamic acid
"
8772,CHEBI:78886,"hydroquinones
"
8773,CHEBI:34444,"phenols
"
8782,CHEBI:16731,"cinnamaldehydes
"
8782,C00903,"Monolignols
"
8785,CHEBI:35697,"cinnamic acid
"
8785,C00423,"Monolignols
"
8786,CHEBI:28054,"cresol
"
8786,CPD-109,"a methylphenol
"
8789,CHEBI:17231,"cresol
"
8789,CPD-112,"a methylphenol
"
8790,CHEBI:17847,"cresol
"
8790,CPD-108,"a methylphenol
"
8793,CHEBI:72752,"organic disulfide
organic aromatic compound
"
8851,CHEBI:16130,"organochlorine insecticide
benzenoid aromatic compound
chlorophenylethane
"
8851,C04623,"Organochlorine pesticides
Organochlorine insecticides
"
8851,CPD-43,"an insecticide
"
8857,CHEBI:33216,"bisphenol
"
8857,C13624,"Bisphenols
"
8858,CHEBI:48400,"monocarboxylic acid
catechols
"
8862,CHEBI:17254,"methylcatechol
"
8862,4-METHYLCATECHOL,"a catechol
"
8865,CHEBI:17098,"benzaldehydes
"
8865,VERATRALDEHYDE,"a small molecule
"
8866,CHEBI:59114,"dimethoxybenzene
"
8880,CHEBI:39839,"phenols
"
8880,CPD-10888,"a phenol
"
8900,CHEBI:31980,"fluorocarbon
"
8938,CHEBI:16865,"monocarboxylic acid
gamma-amino acid
"
8938,C00334,"Amino fatty acids
Other amino acids
Biogenic amines
"
8938,LMFA01100039,"Amino fatty acids
"
9017,CHEBI:50037,"amidobenzoic acid
"
9021,CHEBI:17750,"amino-acid betaine
glycine derivative
"
9021,BETAINE,"a methylated methyl acceptor
"
9043,C18706,"Pesticides
"
9043,CPD-3627,"an amine
"
9168,CHEBI:28855,"polyphenol
macrocycle
crown compound
organic aromatic compound
"
9295,CHEBI:16016,"ketotriose
"
9295,C00184,"Ketoses
"
9295,DIHYDROXYACETONE,"a small molecule
"
9312,CHEBI:271436,"tertiary amine
ethanolamines
"
9341,CHEBI:38381,"dodecenoic acid
"
9341,LMFA01030043,"Unsaturated fatty acids
"
9357,CHEBI:48947,"beta-lactam
"
9357,C06662,"Clavams
"
9430,CHEBI:3485,"cephalosporin
ketoxime
"
9446,CHEBI:16842,"one-carbon compound
aldehyde
"
9446,FORMALDEHYDE,"an <i>n</i>-alkanal
"
9515,CHEBI:73990,"2-monoglyceride
monooleoylglycerol
"
9515,LMGL01010024,"Monoacylglycerols
"
9573,CHEBI:17343,"leucoanthocyanidin
pentahydroxyflavan
"
9573,C03648,"Flavan 3,4-diols
"
9574,CHEBI:5712,"primary aliphatic amine
"
9574,CPD-10098,"a small molecule
"
9575,LMFA07010456,"Wax monoesters
"
9600,CHEBI:16136,"hydracid
sulfur hydride
mononuclear parent hydride
"
9600,C00087,"Inorganic fungicides
"
9600,HS,"an inorganic compound
"
9601,CHEBI:38118,"butenolide
"
9603,CHEBI:52794,"hydroxamic acid
"
9787,CHEBI:30742,"glycol
ethanediol
"
9787,GLYCOL,"a glycol
"
9806,CHEBI:34840,"enoate ester
"
9817,CHEBI:51603,"1,3-benzoxazoles
"
9823,CHEBI:563586,"coumarins
"
9851,CHEBI:52364,"naphthyl ketone
"
9869,CHEBI:63861,"aliphatic sulfide
primary alcohol
"
9869,CPD-7677,"an organosulfur compound
"
9960,CHEBI:46708,"octene
"
10012,CHEBI:27909,"trioxane
"
10035,CHEBI:42504,"long-chain fatty acid
straight-chain saturated fatty acid
"
10035,C16537,"Straight chain fatty acids
"
10035,LMFA01010015,"Straight chain fatty acids
"
10038,CHEBI:38366,"pent-2-enoic acid
"
10038,LMFA01030005,"Unsaturated fatty acids
"
10069,CHEBI:49798,"polyazaalkane
"
10078,CHEBI:38085,"2-benzofurans
gamma-lactone
"
10093,CHEBI:18308,"alpha,beta-unsaturated monocarboxylic acid
"
10093,LMFA01030193,"Unsaturated fatty acids
"
10098,CHEBI:18153,"alkene
"
10098,ETHYLENE-CMPD,"a small molecule
"
10114,CHEBI:46916,"acetate ester
"
10158,CHEBI:67207,"terpene ketone
"
10216,CHEBI:32111,"sulfone
lactam
1,2-benzisothiazole
"
10340,CHEBI:36595,"cyclic dicarboxylic anhydride
tetrahydrofurandione
"
10411,CHEBI:45919,"long-chain fatty acid
straight-chain saturated fatty acid
"
10411,C17076,"Straight chain fatty acids
"
10411,LMFA01010013,"Straight chain fatty acids
"
10412,CHEBI:28621,"tertiary amino compound
amino alcohol
"
10413,CHEBI:35026,"tertiary amine
"
10415,CHEBI:15724,"N-oxide
"
10415,TRIMENTHLAMINE-N-O,"a small molecule
"
10424,CHEBI:38880,"tertiary amine
"
10493,C14302,"Nitrophenol herbicides
"
10496,CHEBI:4640,"secondary amino compound
aromatic amine
"
10496,CPD-9937,"a small molecule
"
10500,CHEBI:5692,"chlorobenzenes
"
10500,C11042,"Organochlorine fungicides
"
10506,CHEBI:17597,"hydroxybenzaldehyde
"
10506,4-HYDROXYBENZALDEHYDE,"a small molecule
"
10507,CHEBI:9008,"N-acyl-amino acid
N-acylglycine
hydroxy-amino acid
"
10509,CHEBI:30764,"monohydroxybenzoic acid
"
10510,CHEBI:30763,"monohydroxybenzoic acid
"
10511,CHEBI:31835,"4-hydroxybenzoate ester
"
10513,CHEBI:32063,"phenols
benzoate ester
"
10521,CHEBI:17043,"hydroxybiphenyls
"
10521,C02499,"Insect repellents
"
10521,CPD-946,"a small molecule
"
10524,LMPK12120188,"Chalcones and dihydrochalcones
"
10529,CHEBI:68657,"phenols
monomethoxybenzene
ketone
"
10529,C17497,"Zingiber derived compounds
"
10536,CHEBI:18101,"monocarboxylic acid
phenols
"
10542,CHEBI:1883,"phenols
"
10542,CPD-1075,"a small molecule
"
10552,CHEBI:16394,"aromatic amino acid
"
10555,CHEBI:8240,"benzodioxoles
arenecarbaldehyde
"
10559,CHEBI:15714,"3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid
"
10559,C00482,"Sinapate derivatives
"
10560,CHEBI:30745,"monocarboxylic acid
benzenes
"
10564,S-1-PHENYLETHANOL,"a small molecule
"
10568,CHEBI:29069,"benzenedicarboxylic acid
"
10582,CHEBI:18397,"alkaloid
aralkylamine
phenylethylamine
"
10582,C05332,"Biogenic amines
"
10584,CHEBI:15793,"monohydroxybenzoic acid
aminobenzoic acid
"
10589,CHEBI:40813,"methoxybenzoic acid
"
10614,LMFA11000345,"Hydrocarbons
"
10662,CHEBI:102265,"pyrimidines
sulfonamide
"
10663,CHEBI:32161,"aromatic ether
substituted aniline
pyrimidines
sulfonamide
"
10664,CHEBI:9328,"pyrimidines
sulfonamide
"
10669,CHEBI:50397,"naphthyloxyacetic acid
"
10669,C18750,"Auxins
"
10670,C10415,"Isoflavonoids
isoflavanones
"
10671,CHEBI:32918,"naphthylacetic acid
"
10671,C13014,"Auxins
"
10673,C18533,"Auxins
"
10673,ALPHA-NAPHTHALENEACETAMIDE,"a small molecule
"
10840,CHEBI:50717,"methylnaphthalene
"
10848,CHEBI:3369,"aromatic ketone
ynone
"
10849,CPD-7888,"a fatty aldehyde
"
10855,CHEBI:59051,"acyclic carboxylic anhydride
"
10855,DIETHYLPYROCARBONATE,"a small molecule
"
10858,C10401,"Anthracenes and phenanthrenes
Anthraquinone type
"
10858,LMPK13040015,"Anthracenes and phenanthrenes
"
10899,CHEBI:34768,"aldehyde
furans
"
10899,CPD0-2357,"a small molecule
"
10908,CHEBI:43572,"primary alcohol
enol
pyranone
"
10916,CHEBI:35260,"1-benzofurans
benzofuran
"
10917,CHEBI:45993,"benzothiazoles
"
10923,CHEBI:20339,"chloroindole-3-acetic acid
"
10925,CHEBI:72013,"enone
chromones
"
10930,CHEBI:34682,"pyrimidines
organic thiophosphate
organothiophosphate insecticide
"
10930,C14324,"Organophosphorus insecticides
"
10930,CPD-8965,"a small molecule
"
10961,CHEBI:32548,"methylpyridines
"
10973,CHEBI:64555,"phenols
phenylpropanoid
4-hydroxycinnamyl alcohol
"
10973,C02646,"Paracoumaryl alcohol derivatives
"
10975,CHEBI:17890,"indolyl alcohol
"
10975,CPD-341,"a small molecule
"
10976,CHEBI:17957,"1,3-thiazole
primary alcohol
"
10976,C04294,"Thiazole alkaloids
"
10976,THZ,"a thiazole
"
10980,CHEBI:17763,"acetate ester
"
10980,CPD-181,"a small molecule
"
10995,CHEBI:9171,"methylindole
"
10995,SKATOLE,"a small molecule
"
10999,CHEBI:16982,"butane-2,3-diol
"
11118,CHEBI:35626,"1,3-thiazole
"
11123,CHEBI:28786,"organic chloride salt
"
11124,C10688,"Quinazoline alkaloids
"
11130,CHEBI:59983,"methyl ketone
aromatic ketone
furans
"
11138,C11180,"Pyrimidine fungicides
"
11147,CHEBI:47013,"D-ribose
ribofuranose
"
11147,C00121,"Aldoses
"
11149,C18438,"Sulfonylurea herbicides
"
11152,C10907,"Anilide herbicides
"
11155,LMPK12110908,"Flavones and Flavonols
"
11161,C08644,"Aurone flavonoids
aurones
"
11163,CHEBI:78738,"1,3-thiazole
"
11170,CHEBI:46837,"pyridinedicarboxylic acid
"
11172,CHEBI:17310,"monohydroxypyridine
hydroxymethylpyridine
methylpyridines
pyridinecarbaldehyde
vitamin B6
"
11172,C00250,"Water-soluble vitamins
"
11172,PYRIDOXAL,"a vitamin B6
"
11178,LMFA07010449,"Wax monoesters
"
11190,CHEBI:77415,"long-chain primary fatty alcohol
"
11190,LMFA05000459,"Fatty alcohols
"
11190,CPD-7876,"a long-chain alcohol
a primary alcohol
a fatty alcohol
"
11205,CPD-8518,"a ketone
"
11219,CHEBI:30109,"3beta-sterol
"
11219,C11508,"Ergosterols and C24-methyl derivatives
"
11219,LMST01031020,"Ergosterols and C24-methyl derivatives
"
11221,CHEBI:35817,"phenols
C-nitro compound
organoarsonic acid
"
11224,CPD-12006,"a small molecule
"
11225,CHEBI:34761,"organic thiophosphate
"
11225,C14420,"Organophosphorus insecticides
"
11228,CHEBI:4610,"organoselenium compound
"
11228,CPD-12005,"a small molecule
"
11261,CHEBI:18125,"phenols
2-coumaric acid
"
11261,C01772,"Monolignols
"
11264,CHEBI:34687,"diester
phthalate ester
"
11264,C14214,"Phthalates
Insect repellents
"
11272,CHEBI:28212,"diamino-1,3,5-triazine
chloro-1,3,5-triazine
"
11272,CPD-801,"a small molecule
"
11290,LMPK12050441,"Isoflavonoids
"
11296,CPD-8927,"a lignan
"
11301,LMPK12113314,"Flavones and Flavonols
"
11333,LMPK12111477,"Flavones and Flavonols
"
11369,CHEBI:68721,"organic heterotetracyclic compound
organochlorine compound
polyphenol
aldehyde
depsidones
"
11371,CHEBI:68801,"organic heterotetracyclic compound
phenols
aldehyde
depsidones
"
11372,CHEBI:68802,"aromatic ether
organic heterotricyclic compound
enone
polyphenol
aromatic ketone
aldehyde
depsidones
"
11373,CHEBI:68803,"aromatic ether
organic heterotricyclic compound
organochlorine compound
enone
polyphenol
aromatic ketone
aldehyde
depsidones
"
11375,CHEBI:68722,"organic heterotricyclic compound
polyphenol
aldehyde
depsidones
"
11380,C10654,"Quinoline alkaloids
"
11381,CHEBI:38119,"dithiocarbamic ester
indole phytoalexin
"
11383,CPD-13599,"an indole-phytolexin
"
11404,C12295,"Acyclic monoterpenoids
"
11410,LMFA07010593,"Wax monoesters
"
11411,LMFA07010594,"Wax monoesters
"
11480,CHEBI:73237,"tertiary amino compound
benzylisoquinoline alkaloid
cyclic acetal
isobenzofuranone
"
11480,C09592,"Isoquinoline alkaloids
"
11499,LMFA05000060,"Fatty alcohols
"
11500,CHEBI:28857,"primary alcohol
"
11500,LMFA05000059,"Fatty alcohols
"
11502,CHEBI:17902,"N-substituted putrescine
"
11502,C00436,"Amines
"
11527,CHEBI:17160,"17alpha-hydroxy steroid
3-hydroxy steroid
estradiol
"
11527,C02537,"C18 steroids (estrogens) and derivatives
Estrane and derivatives
"
11527,LMST02010029,"C18 steroids (estrogens) and derivatives
"
11547,CHEBI:17347,"3-oxo steroid
17beta-hydroxy steroid
androstanoid
"
11547,C00535,"C19 steroids (androgens) and derivatives
androstane
Androstane and derivatives
Androgens
"
11547,LMST02020002,"C19 steroids (androgens) and derivatives
"
11549,CHEBI:29107,"3beta-hydroxy steroid
"
11549,LMST01030100,"Ergosterols and C24-methyl derivatives
"
11629,CHEBI:33574,"sulfur-containing carboxylic acid
2-oxo monocarboxylic acid
"
11629,C01180,"Oxo fatty acids
"
11629,LMFA01060170,"Oxo fatty acids
"
11666,CHEBI:3908,"polyphenol
delta-lactone
coumestans
"
11666,C10205,"Coumestan flavonoids
Coumestanes
"
11666,LMPK12090018,"Coumestan flavonoids
"
11666,CPD-11779,"an isoflavone
"
11674,CHEBI:74475,"fatty amide
"
11674,LMFA08010009,"Primary amides
"
11674,CPD6666-3,"a small molecule
"
11675,CHEBI:8994,"benzodioxoles
"
11678,CHEBI:28716,"hexadec-9-enoic acid
"
11678,C08362,"Unsaturated fatty acids
Monounsaturated fatty acids
"
11678,LMFA01030056,"Unsaturated fatty acids
"
11679,CHEBI:17924,"glucitol
"
11682,CHEBI:15756,"long-chain fatty acid
straight-chain saturated fatty acid
"
11682,C00249,"Straight chain fatty acids
Saturated fatty acids
"
11682,LMFA01010001,"Straight chain fatty acids
"
11741,LMPK12110112,"Flavones and Flavonols
"
11800,CHEBI:65899,"phenols
dimethoxybenzene
chalcones
"
11800,LMPK12120246,"Chalcones and dihydrochalcones
"
11802,CPD-255,"acetoin
"
11805,CHEBI:17596,"inosines
"
11812,CHEBI:16441,"beta-D-glucoside
"
11812,C01594,"Cyanogenic glucosides derived from valine or isoleucine
"
11819,LMPK12120244,"Chalcones and dihydrochalcones
"
11827,CHEBI:15903,"D-glucopyranose
"
11831,CHEBI:28088,"7-hydroxyisoflavones
"
11831,C06563,"Isoflavonoids
isoflavones
"
11831,LMPK12050218,"Isoflavonoids
"
11832,CHEBI:17925,"D-glucopyranose
"
11834,CHEBI:17700,"methyl ketone
dialkyl ketone
"
11834,C01875,"Oxygenated hydrocarbons
"
11834,LMFA12000002,"Oxygenated hydrocarbons
"
11834,2-UNDECANONE,"a small molecule
"
11844,CHEBI:16349,"citrulline
"
11844,C00327,"Other amino acids
"
11846,CHEBI:68656,"phenols
methyl ketone
"
11846,CPD-8647,"a polyketide
"
11847,CHEBI:35045,"undecenoic acid
"
11847,LMFA01030036,"Unsaturated fatty acids
"
11857,CHEBI:17362,"quinolines
mancude organic heterobicyclic parent
azaarene
ortho-fused heteroarene
"
11857,QUINOLINE,"a small molecule
"
11859,CHEBI:15971,"L-alpha-amino acid
histidine
"
11859,C00135,"Common amino acids
"
11869,CHEBI:28819,"disaccharide derivative
dihydroxyflavanone
neohesperidoside
"
11869,C09789,"Flavanones
"
11875,CHEBI:15843,"long-chain fatty acid
omega-6 fatty acid
icosa-5,8,11,14-tetraenoic acid
"
11875,C00219,"Unsaturated fatty acids
Polyunsaturated fatty acids
"
11875,LMFA01030001,"Unsaturated fatty acids
"
11881,CHEBI:48498,"aryl thiol
"
11885,CHEBI:17361,"pyrimidine ribonucleoside 5'-monophosphate
cytidine 5'-phosphate
"
11885,C00055,"Ribonucleotides
"
11887,CHEBI:17558,"monosaccharide derivative
tetrahydroxyflavone
quercetin O-glycoside
alpha-L-rhamnoside
"
11887,C01750,"Flavones and Flavonols
flavonols
"
11888,CHEBI:28591,"phenols
monomethoxybenzene
"
11888,CPD-400,"a guaiacol
"
11889,CHEBI:16007,"alkanethiol
"
11889,CPD-7671,"a thiol
"
11890,CHEBI:16104,"monocarboxylic acid
phenols
"
11905,CHEBI:5353,"ring assembly
biflavonoid
hydroxyflavone
methoxyflavone
"
11905,C10048,"Biflavonoids and polyflavonoids
"
11905,LMPK12040003,"Biflavonoids and polyflavonoids
"
11907,CHEBI:16243,"pentahydroxyflavone
7-hydroxyflavonol
"
11907,C00389,"Flavones and Flavonols
flavonols
"
11907,LMPK12110004,"Flavones and Flavonols
"
11933,CHEBI:16583,"alpha-diketone
"
11933,LMFA12000012,"Oxygenated hydrocarbons
"
11933,DIACETYL,"a small molecule
"
11937,CPD-346,"a 2,3-butanediol
"
11938,CHEBI:28159,"D-alpha-amino acid
asparagine
"
11938,C01905,"Other amino acids
"
11941,CHEBI:28794,"coumarins
"
11941,C05851,"coumarins
Phenylpropanoids
"
11941,COUMARIN,"a coumarin
"
11947,CHEBI:18139,"tertiary amine
methylamines
"
11950,LMFA07010464,"Wax monoesters
"
11953,CHEBI:7635,"hydroxyanthraquinones
"
11953,C10379,"Anthracenes and phenanthrenes
Anthraquinone type
"
11953,LMPK13040011,"Anthracenes and phenanthrenes
"
11963,CHEBI:15951,"butanone
"
11963,3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN,"a secondary metabolite
"
11967,CHEBI:65737,"enone
polyphenol
beta-diketone
diarylheptanoid
"
11986,CHEBI:35128,"2-isopropylmalic acid
"
11986,LMFA01170083,"Dicarboxylic acids
"
11987,LMPK12112999,"Flavones and Flavonols
"
11988,CHEBI:5970,"organic heterotricyclic compound
oxacycle
hydroxyisoflavone
"
11988,C10467,"Isoflavonoids
isoflavones
"
11988,LMPK12050383,"Isoflavonoids
"
11995,CHEBI:34247,"phenols
"
11996,LMFA06000019,"Fatty aldehydes
"
12002,CHEBI:16857,"L-alpha-amino acid
aspartate family amino acid
threonine
"
12002,C00188,"Common amino acids
"
12006,CPD-6542,"a small molecule
"
12011,CHEBI:16881,"indole
polycyclic heteroarene
"
12011,INDOLE,"an indole
"
12016,CHEBI:454991,"benzoic acids
methoxybenzene
"
12030,CHEBI:30813,"medium-chain fatty acid
straight-chain saturated fatty acid
"
12030,C01571,"Straight chain fatty acids
Saturated fatty acids
"
12030,LMFA01010010,"Straight chain fatty acids
"
12033,CHEBI:38200,"monosaccharide derivative
3'-hydroxyflavanones
alpha-L-rhamnoside
flavanone glycoside
tetrahydroxyflavanone
"
12042,CHEBI:16610,"triamine
polyazaalkane
"
12043,CHEBI:7610,"enal
"
12043,LMFA06000117,"Fatty aldehydes
"
12044,CHEBI:27957,"primary alcohol
methyl ketone
propanone
"
12044,ACETOL,"a small molecule
"
12047,LMPK12050137,"Isoflavonoids
"
12062,CHEBI:40538,"aralkylamine
primary amine
"
12065,CHEBI:30772,"straight-chain saturated fatty acid
short-chain fatty acid
"
12065,C00246,"Straight chain fatty acids
Saturated fatty acids
"
12065,LMFA01010004,"Straight chain fatty acids
"
12067,CHEBI:17172,"purine 2'-deoxyribonucleoside
"
12067,C00330,"Deoxyribonucleosides
"
12086,CHEBI:17153,"alpha-CH2-containing aldehyde
propanals
"
12086,CPD-665,"an <i>n</i>-alkanal
"
12087,LMFA07010528,"Wax monoesters
"
12088,CHEBI:25722,"uridines
pyrimidinemonocarboxylic acid
nucleoside
"
12093,CHEBI:16579,"monomethoxybenzene
"
12093,CPD-395,"a small molecule
"
12101,CHEBI:28374,"alkaloid
organic heterohexacyclic compound
steroid
steroid alkaloid fundamental parent
"
12101,C06543,"Solanidines and alkaloid derivatives
Steroidal alkaloids
"
12101,LMST01150007,"Solanidines and alkaloid derivatives
"
12109,CHEBI:27632,"methyl ketone
acetophenones
"
12109,PHENYL,"an aromatic compound
a methyl-ethyl-ketone
"
12122,CHEBI:50599,"methyl-L-histidine
"
12125,LMST01010077,"Cholesterol and derivatives
"
12127,C10204,"Isoflavonoids
isoflavanones
"
12132,C03567,"Isoflavonoids
isoflavanones
"
12132,2-HYDROXY-23-DIHYDRODAIDZEIN,"a small molecule
"
12134,LMST01040122,"Stigmasterols and C24-ethyl derivatives
"
12135,CHEBI:28928,"furanocoumarin
"
12135,C09060,"Furanocoumarins
"
12135,CPD-9815,"a small molecule
"
12140,C02278,"Fatty aldehydes
"
12140,LMFA06000071,"Fatty aldehydes
"
12140,CPD-7880,"a fatty aldehyde
"
12155,CHEBI:49000,"benzenes
primary alcohol
"
12155,CPD-7035,"a small molecule
"
12156,CHEBI:31988,"acetate ester
"
12157,CPD-12217,"a small molecule
"
12161,CHEBI:28790,"phenols
monoamine molecular messenger
primary amino compound
tryptamines
"
12161,C00780,"Indole alkaloids
Biogenic amines
"
12163,CHEBI:17015,"flavin
"
12163,C00255,"Water-soluble vitamins
"
12166,CHEBI:18243,"catecholamine
"
12166,C03758,"Biogenic amines
Tyramine derivatives
Dopamine
"
12167,CHEBI:18050,"L-alpha-amino acid
glutamine family amino acid
glutamine
"
12167,C00064,"Common amino acids
"
12174,CHEBI:4917,"phenylpropanoid
"
12174,C10453,"Monolignols
"
12174,CPD-6481,"a monoterpenol
a phenol
"
12177,CHEBI:48376,"one-carbon compound
isourea
"
12177,UREA,"a small molecule
"
12178,CHEBI:34690,"organochlorine acaricide
dialkyl phosphate
organophosphate insecticide
alkenyl phosphate
"
12178,C14430,"Organophosphorus insecticides
"
12178,CPD-10185,"a small molecule
"
12192,CHEBI:28568,"azacycloalkane
saturated organic heteromonocyclic parent
piperazines
"
12193,CPD-9275,"an organosulfur compound
"
12194,CHEBI:15355,"acetate ester
acylcholine
"
12194,C01996,"Acetylcholine
"
12194,ACETYLCHOLINE,"a small molecule
"
12195,CHEBI:48131,"alpha,omega-dicarboxylic acid
"
12195,C08261,"Dicarboxylic acids
"
12195,LMFA01170054,"Dicarboxylic acids
"
12201,CHEBI:72775,"benzoate ester
"
12201,CPD-6441,"an aromatic compound
"
12202,CHEBI:17484,"isothiocyanate
"
12202,BENZYL-ISOTHIOCYANATE,"a small molecule
"
12203,CHEBI:18026,"dihydroxybenzoic acid
"
