cid,cStruc,canonical_smiles,Isomeric_smiles,IUPAC,cFormula,InChiKey,MW,AlogP,Num_AromaticRings,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,Num_Rings,SensoryThr,toxicity_val
793,CCCCCCCCCCC=CC=O,CCCCCCCCCCC=CC=O,CCCCCCCCCC/C=C/C=O,(E)-tridec-2-enal,C13H24O,VMUNAKQXJLHODT-VAWYXSNFSA-N,196.33,4.2723,0,1,0,10,0.0,0,0.0
794,CC(C)CC(=O)OCC=C(C)CCC=C(C)C,CC(C)CC(=O)OCC=C(C)CCC=C(C)C,CC(C)CC(=O)OC/C=C(\C)/CCC=C(C)C,"[(2E)-3,7-dimethylocta-2,6-dienyl] 3-methylbutanoate",C15H26O2,SOUKTGNMIRUIQN-NTEUORMPSA-N,238.37,4.2684,0,2,0,7,0.0,0,0.0
795,CCCOC(=O)C=CC1=CC=CO1,CCCOC(=O)C=CC1=CC=CO1,CCCOC(=O)/C=C\C1=CC=CO1,propyl (Z)-3-(furan-2-yl)prop-2-enoate,C10H12O3,RRFBKGHLBNBFGL-WAYWQWQTSA-N,180.2,2.246,1,3,0,4,1.0,0,0.0
796,CC(C)C(C=O)C1=CC=CC=C1,CC(C)C(C=O)C1=CC=CC=C1,CC(C)C(C=O)C1=CC=CC=C1,3-methyl-2-phenylbutanal,C11H14O,UKEXEDXJYSMZGZ-UHFFFAOYSA-N,162.23,2.6251,1,1,0,3,1.0,0,0.0
797,CC(C)CC(=O)OCCC(C)CCCC(=C)C,CC(C)CC(=O)OCCC(C)CCCC(=C)C,CC(C)CC(=O)OCCC(C)CCCC(=C)C,"3,7-dimethyloct-7-enyl 3-methylbutanoate",C15H28O2,OZAWINZSOFVOBJ-UHFFFAOYSA-N,240.39,4.3483,0,2,0,9,0.0,0,0.0
798,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCOC)OCCOC)OCCOC,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCOC)OCCOC)OCCOC,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCOC)OCCOC)OCCOC,"2-[2-[3,4-bis(2-methoxyethoxy)oxolan-2-yl]-2-(2-methoxyethoxy)ethoxy]ethyl octadecanoate",C35H68O10,OIMZBBUYJOODMX-UHFFFAOYSA-N,648.92,6.3013,0,10,0,34,1.0,0,0.0
799,CC(=CCCC1(C2CCC(C2)C1=C)C)COC(=O)C.CC(=CCCC1(C2CC3C1(C3C2)C)C)COC(=O)C,CC(=CCCC1(C2CCC(C2)C1=C)C)COC(=O)C.CC(=CCCC1(C2CC3C1(C3C2)C)C)COC(=O)C,C/C(=C/CC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)/COC(=O)C.C/C(=C/CC[C@@]1(C2C[C@@H]3C1(C3C2)C)C)/COC(=O)C,"[(Z)-5-[(3R,6S)-2,3-dimethyl-4,5,6,7-tetrahydro-1H-tricyclo[2.2.1.0^{2,6}]heptan-3-yl]-2-methylpent-2-enyl] acetate;[(Z)-2-methyl-5-[(1R,3R,4S)-3-methyl-2-methylidene-3-bicyclo[2.2.1]heptanyl]pent-2-enyl] acetate",C34H52O4,ZUPBLUYKASBIGF-BNWWZQFZSA-N,524.79,8.2266,0,4,0,10,6.0,0,0.0
800,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one",C15H10O5,TZBJGXHYKVUXJN-UHFFFAOYSA-N,270.24,2.5768,3,5,3,1,3.0,0,0.0
801,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,C15H10O4,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,254.24,2.8712,3,4,2,1,3.0,0,0.0
802,C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,C1[C@H](COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,"(3S)-3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",C15H14O3,ADFCQWZHKCXPAJ-GFCCVEGCSA-N,242.27,2.8165,2,3,2,1,3.0,0,0.0
803,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,5-hydroxy-3-(4-hydroxyphenyl)-7-methoxychromen-4-one,C16H12O5,KQMVAGISDHMXJJ-UHFFFAOYSA-N,284.27,2.8798,3,5,2,2,3.0,0,0.0
804,[Cl-].[K+],[Cl-].[K+],[Cl-].[K+],potassium;chloride,ClK,WCUXLLCKKVVCTQ-UHFFFAOYSA-M,74.55,-5.992,0,0,0,0,0.0,0,0.0
805,C1CC2=CC=CC=C2C(=O)C1,C1CC2=CC=CC=C2C(=O)C1,C1CC2=CC=CC=C2C(=O)C1,"3,4-dihydro-2H-naphthalen-1-one",C10H10O,XHLHPRDBBAGVEG-UHFFFAOYSA-N,146.19,2.2056,1,1,0,0,2.0,0,891.0
806,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,,C20H18NO4+,YBHILYKTIRIUTE-UHFFFAOYSA-N,336.37,3.0963,3,4,0,2,5.0,0,0.0
807,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,"(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one",C21H28O5,OIGNJSKKLXVSLS-VWUMJDOOSA-N,360.45,1.5576,0,5,3,2,4.0,0,0.0
808,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,"[(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate",C22H18O11,WMBWREPUVVBILR-WIYYLYMNSA-N,458.38,2.2332,3,11,8,3,4.0,0,0.0
809,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C15H14O6,PFTAWBLQPZVEMU-DZGCQCFKSA-N,290.27,1.5461,2,6,5,1,3.0,0,0.0
810,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,"5,6,7,8-tetramethoxy-2-(4-methoxyphenyl)chromen-4-one",C20H20O7,ULSUXBXHSYSGDT-UHFFFAOYSA-N,372.37,3.503,3,7,0,6,3.0,0,0.0
811,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,"2-(3,4-dimethoxyphenyl)-5,6,7,8-tetramethoxychromen-4-one",C21H22O8,MRIAQLRQZPPODS-UHFFFAOYSA-N,402.4,3.5116,3,8,0,7,3.0,0,0.0
812,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC,"2-(3,4-dimethoxyphenyl)-5,6,7-trimethoxychromen-4-one",C20H20O7,LKMNXYDUQXAUCZ-UHFFFAOYSA-N,372.37,3.503,3,7,0,6,3.0,0,0.0
813,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C15H14O6,PFTAWBLQPZVEMU-UKRRQHHQSA-N,290.27,1.5461,2,6,5,1,3.0,0,0.0
814,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,"(2R,3R)-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C15H14O7,XMOCLSLCDHWDHP-IUODEOHRSA-N,306.27,1.2517,2,7,6,1,3.0,0,0.0
815,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,"[(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate",C22H18O10,LSHVYAFMTMFKBA-TZIWHRDSSA-N,442.38,2.5276,3,10,7,3,4.0,0,0.0
816,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,"5-hydroxy-3-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",C21H20O10,ZCOLJUOHXJRHDI-CMWLGVBASA-N,432.38,0.0499,3,10,6,4,4.0,0,0.0
817,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,"3-(4-hydroxyphenyl)-7-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",C21H20O9,KYQZWONCHDNPDP-MKJMBMEGSA-N,416.38,0.3443,3,9,5,4,4.0,0,0.0
818,C=CCC(=NOS(=O)(=O)[O-])SC1C(C(C(C(O1)CO)O)O)O,C=CCC(=NOS(=O)(=O)[O-])SC1C(C(C(C(O1)CO)O)O)O,C=CC/C(=N\OS(=O)(=O)[O-])/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,"[(E)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]sulfanylbut-3-enylideneamino] sulfate",C10H16NO9S2-,PHZOWSSBXJXFOR-PTGZALFTSA-M,358.37,-2.1141,0,11,4,6,1.0,0,0.0
819,C=CC(CC(=NOS(=O)(=O)O)SC1C(C(C(C(O1)CO)O)O)O)O,C=CC(CC(=NOS(=O)(=O)O)SC1C(C(C(C(O1)CO)O)O)O)O,C=C[C@@H](C/C(=N\OS(=O)(=O)O)/SC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O,"[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1E,3R)-3-hydroxy-N-sulfooxypent-4-enimidothioate",C11H19NO10S2,MYHSVHWQEVDFQT-QGHXNALESA-N,389.4,-2.4106,0,11,6,7,1.0,0,0.0
820,C1=CC=C2C(=C1)C(=CN2)CC(=NOS(=O)(=O)O)SC3C(C(C(C(O3)CO)O)O)O,C1=CC=C2C(=C1)C(=CN2)CC(=NOS(=O)(=O)O)SC3C(C(C(C(O3)CO)O)O)O,C1=CC=C2C(=C1)C(=CN2)C/C(=N\OS(=O)(=O)O)/SC3C(C(C(C(O3)CO)O)O)O,"[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1E)-2-(1H-indol-3-yl)-N-sulfooxyethanimidothioate",C16H20N2O9S2,DNDNWOWHUWNBCK-LDADJPATSA-N,448.48,-0.6236,2,10,6,6,3.0,0,0.0
821,C#N,C#N,C#N,formonitrile,CHN,LELOWRISYMNNSU-UHFFFAOYSA-N,27.03,0.13978,0,1,0,0,0.0,0,0.0
822,O=S=O,O=S=O,O=S=O,sulfur dioxide,O2S,RAHZWNYVWXNFOC-UHFFFAOYSA-N,64.07,-0.6702,0,2,0,0,0.0,0,0.0
823,CC(C(=O)NC1C(SC1(C)C)(C)C)NC(=O)C(CC(=O)O)N,CC(C(=O)NC1C(SC1(C)C)(C)C)NC(=O)C(CC(=O)O)N,C[C@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@H](CC(=O)O)N,"(3S)-3-amino-4-oxo-4-[[(2R)-1-oxo-1-[(2,2,4,4-tetramethylthietan-3-yl)amino]propan-2-yl]amino]butanoic acid",C14H25N3O4S,IVBOUFAWPCPFTQ-SFYZADRCSA-N,331.44,0.0819,0,5,4,6,1.0,0,0.0
824,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,"3,9-dihydroxy-[1]benzofuro[3,2-c]chromen-6-one",C15H8O5,ZZIALNLLNHEQPJ-UHFFFAOYSA-N,268.22,3.1036,4,5,2,0,4.0,0,0.0
825,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,,C66H75Cl2N9O24,MYPYJXKWCTUITO-LYRMYLQWSA-N,1449.27,0.1062,5,25,19,13,12.0,0,0.0
827,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,C11H12N2O2,QIVBCDIJIAJPQS-VIFPVBQESA-N,204.23,1.1223,2,2,3,3,2.0,1,0.0
828,CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N,CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N,CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N,2-[(2-amino-4-methylpentanoyl)amino]-3-(1H-indol-3-yl)propanoic acid,C17H23N3O3,BQVUABVGYYSDCJ-UHFFFAOYSA-N,317.39,1.6532,2,3,4,7,2.0,0,0.0
829,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O)N,C1=CC=C(C=C1)C[C@@H](C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)O)N,(2S)-2-[[(2S)-2-amino-3-phenylpropanoyl]amino]-3-(1H-indol-3-yl)propanoic acid,C20H21N3O3,JMCOUWKXLXDERB-WMZOPIPTSA-N,351.41,1.8498,3,3,4,7,3.0,0,0.0
830,CC(C)CC(C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)N,CC(C)CC(C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)N,CC(C)C[C@@H](C(=O)O)NC(=O)[C@@H](CC1=CNC2=CC=CC=C21)N,(2S)-2-[[(2R)-2-amino-3-(1H-indol-3-yl)propanoyl]amino]-4-methylpentanoic acid,C17H23N3O3,LYMVXFSTACVOLP-HIFRSBDPSA-N,317.39,1.6532,2,3,4,7,2.0,0,0.0
831,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C32)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C32)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C32)N,2-[[2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-phenylpropanoic acid,C20H21N3O3,IMMPMHKLUUZKAZ-UHFFFAOYSA-N,182.42,1.3652,1,2,2,2,1.0,0,0.0
832,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)N[C@H](CC3=CNC4=CC=CC=C43)C(=O)O)N,(2R)-2-[[(2R)-2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-(1H-indol-3-yl)propanoic acid,C22H22N4O3,NQIHMZLGCZNZBN-YLJYHZDGSA-N,390.44,2.3311,4,3,5,7,4.0,0,0.0
833,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)N,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)N,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)N,2-[[2-[(2-amino-4-methylpentanoyl)amino]-4-methylpentanoyl]amino]-4-methylpentanoic acid,C18H35N3O4,DNDWZFHLZVYOGF-UHFFFAOYSA-N,357.5,1.5062,0,4,4,11,0.0,0,0.0
834,CC(C)CC(C(=O)O)NC(=O)CN,CC(C)CC(C(=O)O)NC(=O)CN,CC(C)C[C@@H](C(=O)O)NC(=O)CN,(2S)-2-[(2-aminoacetyl)amino]-4-methylpentanoic acid,C8H16N2O3,DKEXFJVMVGETOO-LURJTMIESA-N,188.23,-0.4394,0,3,3,5,0.0,0,0.0
835,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CN,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CN,C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)CN,(2S)-2-[(2-aminoacetyl)amino]-3-phenylpropanoic acid,C11H14N2O3,JBCLFWXMTIKCCB-VIFPVBQESA-N,222.24,-0.2428,1,3,3,5,1.0,0,0.0
836,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)N,(2S)-2-[[(2S)-2-amino-3-phenylpropanoyl]amino]-4-methylpentanoic acid,C15H22N2O3,RFCVXVPWSPOMFJ-STQMWFEESA-N,278.35,1.1719,1,3,3,7,1.0,0,0.0
837,C1CC(NC1)C(=O)NC(CCCN=C(N)N)C(=O)O,C1CC(NC1)C(=O)NC(CCCN=C(N)N)C(=O)O,C1C[C@H](NC1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,(2S)-5-(diaminomethylideneamino)-2-[[(2S)-pyrrolidine-2-carbonyl]amino]pentanoic acid,C11H21N5O3,HMNSRTLZAJHSIK-YUMQZZPRSA-N,271.32,-1.6386,0,4,5,7,1.0,0,0.0
838,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC3=CC=CC=C3)C(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC3=CC=CC=C3)C(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC3=CC=CC=C3)C(=O)O)N,2-[[2-[(2-amino-3-phenylpropanoyl)amino]-3-phenylpropanoyl]amino]-3-phenylpropanoic acid,C27H29N3O4,CBENHWCORLVGEQ-UHFFFAOYSA-N,459.55,2.096,3,4,4,11,3.0,0,0.0
839,CC(C)C1=CC=C(C=C1)C=NO,CC(C)C1=CC=C(C=C1)C=NO,CC(C)C1=CC=C(C=C1)/C=N\O,(NZ)-N-[(4-propan-2-ylphenyl)methylidene]hydroxylamine,C10H13NO,NVKXBDITZDURNJ-XFFZJAGNSA-N,163.22,2.6181,1,2,1,2,1.0,0,0.0
840,C1=CC2=C(C=C1[N+](=O)[O-])S(=O)(=O)NC2=O,C1=CC2=C(C=C1[N+](=O)[O-])S(=O)(=O)NC2=O,C1=CC2=C(C=C1[N+](=O)[O-])S(=O)(=O)NC2=O,"6-nitro-1,1-dioxo-1,2-benzothiazol-3-one",C7H4N2O5S,HZZFBUZSKAVIOV-UHFFFAOYSA-N,228.18,0.0269,1,5,1,1,2.0,0,0.0
841,C1=CC2=C(C(=C1)[N+](=O)[O-])S(=O)(=O)NC2=O,C1=CC2=C(C(=C1)[N+](=O)[O-])S(=O)(=O)NC2=O,C1=CC2=C(C(=C1)[N+](=O)[O-])S(=O)(=O)NC2=O,"7-nitro-1,1-dioxo-1,2-benzothiazol-3-one",C7H4N2O5S,SQPRZTVMUYGIOH-UHFFFAOYSA-N,228.18,0.0269,1,5,1,1,2.0,0,0.0
842,CCCCN1C(=O)c2ccc(cc2S1(=O)=O)[N+](=O)[O-],CCCCN1C(=O)c2ccc([N+](=O)[O-])cc2S1(=O)=O,CCCCN1C(=O)c2ccc(cc2S1(=O)=O)[N+](=O)[O-],"2-butyl-6-nitro-1,1-dioxo-1,2-benzothiazol-3-one",C11H12N2O5S,VEJHIMURYPAXHE-UHFFFAOYSA-N,284.29,1.5394,1,5,0,4,2.0,0,0.0
843,CC(C)N1C(=O)c2ccc(cc2S1(=O)=O)[N+](=O)[O-],CC(C)N1C(=O)c2ccc([N+](=O)[O-])cc2S1(=O)=O,CC(C)N1C(=O)c2ccc(cc2S1(=O)=O)[N+](=O)[O-],"6-nitro-1,1-dioxo-2-propan-2-yl-1,2-benzothiazol-3-one",C10H10N2O5S,BHTXQTKYXIVGJT-UHFFFAOYSA-N,270.27,1.1477,1,5,0,2,2.0,0,0.0
844,CCCCCN1C(=O)c2ccc(cc2S1(=O)=O)[N+](=O)[O-],CCCCCN1C(=O)c2ccc([N+](=O)[O-])cc2S1(=O)=O,CCCCCN1C(=O)c2ccc(cc2S1(=O)=O)[N+](=O)[O-],"6-nitro-1,1-dioxo-2-pentyl-1,2-benzothiazol-3-one",C12H14N2O5S,WDYDFZPSMIBOQT-UHFFFAOYSA-N,298.32,1.9295,1,5,0,5,2.0,0,0.0
845,[O-][N+](=O)c1ccc2C(=O)N(SC(Cl)(Cl)Cl)S(=O)(=O)c2c1,O=C1c2ccc([N+](=O)[O-])cc2S(=O)(=O)N1SC(Cl)(Cl)Cl,[O-][N+](=O)c1ccc2C(=O)N(SC(Cl)(Cl)Cl)S(=O)(=O)c2c1,"6-nitro-1,1-dioxo-2-(trichloromethylsulfanyl)-1,2-benzothiazol-3-one",C8H3Cl3N2O5S2,FMWLERTZYJGDSP-UHFFFAOYSA-N,377.61,2.7152,1,6,0,2,2.0,0,0.0
846,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)NS2(=O)=O,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)NS2(=O)=O,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)NS2(=O)=O,"5-nitro-1,1-dioxo-1,2-benzothiazol-3-one",C7H4N2O5S,KABUZPWVPGUDIR-UHFFFAOYSA-N,228.18,0.0269,1,5,1,1,2.0,0,0.0
847,CCN(CC)CCN1C(=O)C2=CC=CC=C2S1(=O)=O,CCN(CC)CCN1C(=O)C2=CC=CC=C2S1(=O)=O,CCN(CC)CCN1C(=O)C2=CC=CC=C2S1(=O)=O,"2-[2-(diethylamino)ethyl]-1,1-dioxo-1,2-benzothiazol-3-one",C13H18N2O3S,VXEOMMSMNXSUPA-UHFFFAOYSA-N,282.37,1.1729,1,4,0,5,2.0,0,0.0
